LANGUAGE, English,
STRM_briefing_name,Takistan Life: Xtreme,
STRM_mission_description,Life RPG created by the Arma 2 Community,
STRS_hints_vehicle_information,VEHICLE INFORMATION:\n\nName: %4\nType: %1\ndirection: %2°\nHeight ASL: %3m\nDriver: %5\nFree Cargo: %6\nlength: %7m,
STRS_functions_crimelog_msg12,Speeding,
STRS_anfang_laden,Loading.....\nPlease Wait,
STRS_anfang_02,"Welcome to Takistan Life: Xtreme \n\n ALL vehicles enabled, STAT SAVE enabled\n\n RADAR, CAPTURE POINTS, AND MORE\n\n\n READ THE RULES BEFORE PLAYING. BREAKING RULES = KICK/BAN",
STRS_anfang_03,"There is a Civil War in Takistan \n\n Independents can kill Opfor and Blufor on sight \n\n Blufor and Opfor may not kill each other until War is declared \n\n They can conduct covert operations in their respective territories to kidnap, but may not kill while over the border",
STRS_anfang_04,Do NOT kill unarmed civilians! \n\n Ne les tuez pas des civils desarmes! \n\n No mate a civiles desarmados!,
STRS_anfang_05_civ,Do NOT teamkill! \n\n Ne tuez pas votre propre equipe! \n\n No mate a su propio equipo!,
STRS_anfang_05_cop,Racial slurs are prohibited here and will result in a BAN. \n\n Foul language and heated arguments are OK. \n\n Racist harassment of other players is NOT.,
STRS_anfang_cop_loadout,Loading your variable information....,
STRS_anfang_06,"Game guide, rules, Teamspeak Info, and changelog on the map tabs.\n\nPlease be helpful to new players and don't grief.\n\nThis is a roleplaying server.",
STRS_check_civ_in_terrorbase,You entered the Terror-Camp.,
STRS_southChernarus_area,You do not have jurisdiction in this area. Turn around!,
STRS_prohibited_area,Turn around,
STRS_verbotene_zone_teleport,You entered a prohibited area and have been teleported back to your respawn area.,
STRS_hunger_verhungern,You are starving.,
STRS_arbeiter_in_copbase,One of your Workers was too close to the Policebase,
STRS_arbeiter_in_terrorbase,One of your Workers was too close to the Terror-base,
STRS_dead_player_is_dead_civ,You are dead,
STRS_dead_player_is_dead_cop,You are dead,
STRS_slave_zuviele,You can't buy any more slaves!!,
STRS_slave_nomoney,You can't afford a slave...Maybe you should be a slave!.,
STRS_slave_gekauft," ""%1"," you have bought a slave for $%2. Take him to a workplace and he will earn you money."" "
STRS_slave_moneyaction,Take the profit this slave has made you.,
STRS_slave_tot,One of your slaves has died! Protect them in future!,
STRS_slave_geldabnahme_ja,This slave has earned you $%1.,
STRS_slave_geldabnahme_nein,This slave has no money!! Useless!.,
STRS_arbeiter_gekauft,"%1, a new worker is on your team. You paid $%2. Bring him to a workplace in order to let him earn some money.",
STRS_arbeiter_moneyaction,Take money from your worker.,
STRS_arbeiter_tot,A worker in your team died.,
STRS_arbeiter_geldabnahme_ja,You got $%1 from the worker.,
STRS_arbeiter_geldabnahme_nein,The worker currently does not have any money.,
STRS_arbeiter_meister,This worker works for %1.,
STRS_arbeiter_copaction,Who do you work for?,
STRS_arbeiter_zuviele,You can't buy another worker because you have already reached the limit.,
STRS_arbeiter_nomoney,You can't afford a worker. Come back later.,
STRS_inventar_beschreibung_bankversicherung,Bank Insurance stops you from losing any money when someone robs the bank. Each time the bank is robbed a single Bank Insurance will be used up. Owning 2 Bank Insurances will mean that you do not lose any money the next 2 times the Bank is robbed.,
STRS_dead_menuentry_hints,Stats,
STRS_dead_menuentry_inventar,Inventory,
STRS_dead_menuentry_animation,Animations,
STRS_addAction_copstorage1,private Storage,
STRS_addAction_copstorage2,public Storage,
STRS_addaction_freecam,Satellite Cam,
STRS_addaction_defuse,Defuse bomb,
STRS_addaction_bank_license,Buy bank insurance $%1,
STRS_addaction_civcammenu,Open Civcam,
STRS_addAction_copmenu,Open Cop Menu,
STRS_addAction_copmenulite,On-foot Cop Menu,
STRS_addaction_jailcam,Jailcam,
STRS_addaction_buy_drugs,Open Drug-Buy Menu,
STRS_addaction_sell_drugs,Sell Drugs,
STRS_addaction_weather,Weather Forecast,
STRS_addaction_shootingrange,Shooting Range $%1,
STRS_addaction_prisonrelease,Wanted/Prison Menu,
STRS_addaction_bail,Pay Bail,
STRS_addaction_buy_worker,Hire Worker $%1,
STRS_addaction_buy_slave,Purchase a Slave for $%1,
STRS_addaction_buy_hideout,Hideout shopping Menu,
STRS_addaction_race_join,Join Street Race $%1,
STRS_addaction_buy_shop,Buy %1 for $%2,
STRS_addaction_buy_rank,Bribe Deputy Chief of Police to get a cut in the %1 for $%2,
STRS_addaction_switch_copmarker,Switch Cop-marker on/off,
STRS_addaction_radio_on,Switch Radio On/Off,
STRS_addaction_vehicleinfo,Vehicle information,
STRS_addaction_courierjob,Get a Courier Job!,
STRS_addaction_hideout_addon1,Hideout: Medic Add-on $%1,
STRS_addaction_hideout_addon2,Hideout: Teleport Add-on $%1,
STRS_addaction_hideout_addon3,Hideout: On-line Banking Add-on $%1,
STRS_addaction_hideout_addon4,Repair Hideout $%1,
STRS_addaction_hideout_addon5,Lock Hideout,
STRS_addaction_hideout_healaddon_use,Heal,
STRS_addaction_hideout_bankaddon_use,On-line Banking,
STRS_addaction_hideout_ablage,Hideout Storage,
STRS_addAction_bank_balance,Account Balance,
STRS_addAction_bank_dialog,Bank Menu,
STRS_addaction_civmenu,Interaction %1 (%2),
STRS_addaction_restrainciv,Restrain %1 (%2),
STRS_action_hideoutowner,Show Hideout Owner,
STRS_addaction_gildenmenu,Gang Menu,
STRD_description_gildegruenden_hinweis," ""Note: The Name MUST NOT contain quotes! Creation fee is $200,000. If you leave and rejoin the game you must rejoin the gang (there is no join fee). The gang will be deleted after 15 minutes if there are no members in the gang.""",
STRD_description_gildegruenden_hinweis_squad," ""Note: The Name MUST NOT contain quotes! Creation fee is $100,000. If you leave and rejoin the game you must rejoin the squad (there is no join fee). The squad will be deleted after 15 minutes if there are no members in the squad.""",
STRD_description_gildeverwalten_sperren_submit," ""Update!""",
STRD_description_gildeverwalten_sperren_header," ""Join allowed?""",
STRS_addaction_removesperre,Remove Roadblock/Spikestrip,
STRS_addaction_sirene,Siren On/Off,
STRS_addaction_lightbar,Lights On/Off,
STRS_addaction_lock,Lock/Unlock,
STRS_addaction_crimelog,Crime Log,
STRS_addaction_trunk,Trunk,
STRS_addaction_trunk_see,View Trunk,
STRS_addaction_trunk_check,Search Vehicle,
STRS_camciv_nomoney,Civ cam has been removed.,
STRS_civcam_notwanted,You are watching %1. He is not wanted.,
STRS_civcam_wanted,You are watching %1. He is wanted.,
STRS_civmenu_stehlen_copzunah,You can't steal anything as a cop is near.,
STRS_civmenu_stehlen,You are stealing money from that player! Please wait five seconds to get the money.,
STRS_civmenu_distance,You are either too far away from the Civ or he is dead,
STRS_civmenu_wantedbonus,That was a wanted person. You get a bonus of $%1,
STRS_civmenu_kopfgeld,On this person there were a bounty of $%1,
STRS_civmenu_hasnodrugs,The civ does not have any drugs.,
STRS_civmenu_hasdrugs,"%1 had drugs, you removed them. You should jail %1 for %2 minutes or give him a ticket of $%3. ",
STRS_civmenu_disarm,You disarmed %1!.,
STRS_civmenu_buy_disarm_nomoney,You can't afford the removal of weapons.,
STRS_civmenu_disarm_notarmed,The player is not armed.,
STRS_civmenu_arrested,Arresting %1...,
STRS_civmenu_ticketinuse,You made a mistake while writing the ticket,
STRS_civmenu_gaveticket,You gave %1 a ticket of $%2.,
STRS_civmenu_didpayticket,%1 paid the ticket of $%2.,
STRS_civmenu_didpaynothing,%1 chose not to pay the ticket.,
STRS_civmenu_ticket_globalchat,%3 gave a ticket of $%2 to %1,
STRS_civmenu_didnotpayticket,%1 did not have enough money to pay the ticket of $%2,
STRS_civmenu_youdidnotpay,You did not pay the ticket.,
STRS_civmenu_copnotarmed,You are not armed. You need a weapon for this action.,
STRS_civmenu_heal,You healed %1-%2.,
STRS_civmenu_panic,PANIC BUTTON FOR %1 ACTIVATED.,
STRS_inventory_checknohands,The Civ does not have his hands up and is not stunned!,
STRS_inventory_checkstring,His Licenses:\n\nHandgunlicense: %1\nRiflelicense: %2\nHeavygunlicense: %3\nSniperriflelicense: %4\n\nCarlicense: %5\nPickuplicense: %6\nTrucklicense: %7\nArmoredlicense: %8\nBoatlicense: %9\nAirlicense: %10\nOillicense: %11\nTobaccolicense: %12\nAlcohollicense: %13\n\nBuilderlicense: %14\n\nPassportlicense: %15\n\nBodyGuardlicense: %16\n\nIllegal Objects - Amount:\n\n%17,
STRS_civmenucheck_beendisarmed,You have been disarmed.,
STRS_civmenucheck_beendrugsearched,Your drugs have been removed.,
STRS_civmenucheck_ticketrest,You still owe the Cops $%1,
STRS_civmenucheck_ticketself,You paid a ticket of $%1.,
STRS_civmenucheck_youarehealed,You were healed by %2-%3,
STRS_civmenucheck_removeddrugs,A cop found your drugs and removed them.,
STRS_civmenucheck_haddrugs,%1 had $%2 worth of drugs!,
STRS_civmenucheck_arrested_self,You have been arrested for %1 Minutes. After that you will be teleported out. You can board a chopper to escape.,
STRS_civmenucheck_arrested_global,%1 was arrested by %2 for %3 minute(s),
STRS_civmenucheck_free_global,%1 is free again,
STRS_civmenucheck_free_self,You are free now. Don't do anything wrong or you will be arrested again.,
STRS_civmenucheck_breakout,%1 has escaped from jail,
STRS_civmenucheck_stolen,You have stolen $%1 from that civ!,
STRS_civmenucheck_stolenpub,Someone is stealing from %1!,
STRS_dialogcivmenu_arrest,Arrest for %1 min(s),
STRS_dialogcivmenu_ticket,Ticket  $%1,
STRS_dialogandere_bankdialog_you,You,
STRS_dialogandere_gilden_keinleader,You are not the Leader of a gang so you can't use this menu,
STRS_dialogandere_itemshop,Your current Money is $%1,
STRS_moneh_countdown,%1 Minute(s) until next Paycheck.,
STRS_moneh_were,were,
STRS_moneh_nowere,were not,
STRS_moneh_unimsg,Because of your University Training you have earned $%1 extra.,
STRS_moneh_hideoutextramoney,Because of your Hideout you got additional $%1.,
STRS_moneh_civmoneyadd,"%1, you received a paycheck of $%2.",
STRS_moneh_copmoneyadd,"%1, you received a paycheck of $%2.",
